epoch,acc,loss,val_acc,val_loss
0,0.6239362,1.7597377431862917,0.92953116,1.793947013314143
1,0.8993124,0.9146137474350147,0.9351535,0.48973750228836954
2,0.8876513,0.8456737962707361,0.8697214,0.547933427517954
3,0.8835015,0.7465580037436671,0.8140689,0.6564098778544422
4,0.8837994,0.6454144319439997,0.83080596,0.47740995244188617
5,0.88051337,0.5947647662272056,0.8587953,0.4978757643045424
6,0.88365793,0.6199578314097625,0.87151325,0.478174037500438
7,0.884541,0.5889846063258257,0.9882427,0.5051358060837113
8,0.8933053,0.7329093593553199,0.894647,0.5309339468528876
9,0.88181156,0.5943912939319157,0.9009664,0.31599140518250185
10,0.8848266,0.6327004570781897,0.8757577,0.3831214485882496
11,0.8841358,0.5454767568736275,0.88028955,1.5437156463489545
12,0.88681006,0.5624309072138436,0.909713,0.3377586427829011
13,0.8878914,0.560303724135346,0.8301847,0.4514814333914533
14,0.89628947,0.5182674618662437,0.8799344,0.3016708305706803
15,0.8912955,0.5691433903167303,0.88853085,0.37510720092895866
16,0.9009812,0.4810365836291302,0.82409173,0.4622361984948137
17,0.8944354,0.4991563059294577,0.92003465,0.5229449378775423
18,0.893639,0.4689204972613556,0.9014598,0.41661755127664474
19,0.8956377,0.4308197639835508,0.878766,1.3936612671854476
20,0.8997809,0.4328001362956081,0.8937428,0.28468280522304923
21,0.8928206,0.4316596269322846,0.9634006,0.9331436464622593
22,0.9001689,0.4189874462416278,0.8964932,0.7703852850973296
23,0.89375585,0.4672886387606145,0.87811756,0.36093786504444286
24,0.8995307,0.401225260733319,0.9167166,0.2709571094169216
25,0.8962312,0.4154651822880096,0.9067076,0.6597596860245472
26,0.888872,0.39920644600415295,0.8958981,0.31002742235706426
27,0.8951159,0.4155090325102101,0.89294016,0.29284449421634473
28,0.89446515,0.39706728792432905,0.8595839,0.3613452839964905
29,0.90438235,0.41714810637152194,0.88968027,0.35691813061292743
30,0.89113694,0.4698591251886611,0.9076526,0.288721461290377
31,0.8940891,0.3897975718957975,0.9358014,0.5032734583002937
32,0.8911453,0.42404033447424855,0.8933187,0.2582852919180021
33,0.8961342,0.386160279081106,0.87617457,0.4264173088228462
34,0.8951586,0.39526520274519106,0.8972666,0.2886797066541013
35,0.8951949,0.37665107949181365,0.9010751,0.8415342846904706
36,0.8964999,0.3832674608870927,0.8762303,0.7416570373223278
37,0.89099026,0.3657313977615766,0.8877495,0.24820699175823216
38,0.89756536,0.3788959666945139,0.87555134,0.2478644572845676
39,0.89414644,0.38581538699224094,0.8890048,0.29605175693023567
40,0.90216076,0.37706460361989047,0.9116306,0.27486244365636875
41,0.89575326,0.3767163336411741,0.9024002,0.2625684656720391
42,0.90157676,0.39020657320664914,0.8734591,0.6285697107030026
43,0.8965488,0.3784514966308415,0.9132044,0.2777354210410913
44,0.9007886,0.37690320433154356,0.90192586,0.6504062511145501
45,0.89234143,0.3704347088252087,0.9199193,0.2860655499772719
46,0.8958626,0.38624405334470985,0.8724934,0.33052537218052974
47,0.89474756,0.3654999121205803,0.88691556,1.1145590808324901
48,0.90092814,0.4012680386855077,0.91010267,0.597383666562578
49,0.8972248,0.3832594454816448,0.9298358,0.54121340367554
